genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Sphaerodactylus,nicholsi,39.5,11.4,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus nicholsi,NA,17.97,-66.91,Tropical
Sphaerodactylus,roosevelti,39.3,10.5,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus roosevelti,NA,17.97,-66.91,Tropical
Sphaerodactylus,townsendi,42.1,11.4,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus townsendi,NA,18.33,-65.65,Tropical
Anolis,cristatellus,37.1,8.9,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis cristatellus,NA,18.5,-66.14,Tropical
Anolis,cooki,38.8,9.3,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis cooki,NA,18.1,-66.9,Tropical
Sceloporus,grammicus,41.8,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Sceloporus grammicus,48,19.17,-98.6,Tropical
Cyrtodactylus,philippinicus,34.6,NA,Chordata,Lepidosauria,Squamata,Gekkonidae,Cyrtodactylus philippinicus,NA,14.09,121.49,Tropical
Lipinia,pulchella,35.1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Lipinia pulchella,NA,14.09,121.49,Tropical
Parvoscincus,decipiens,32.9,NA,Chordata,Lepidosauria,Squamata,Scincidae,Parvoscincus decipiens,NA,14.09,121.49,Tropical
Pinoyscincus,abdictus,36.9,NA,Chordata,Lepidosauria,Squamata,Scincidae,Pinoyscincus abdictus,NA,14.09,121.49,Tropical
Pinoyscincus,jagori,37,NA,Chordata,Lepidosauria,Squamata,Scincidae,Pinoyscincus jagori,NA,14.09,121.49,Tropical
Anolis,cupreus,38.4,11.8,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis cupreus,19,10.63,-85.43,Tropical
Anolis,humilis,35.6,12.4,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis humilis,22,10.42,-84.02,Tropical
Anolis,intermedius,38.4,11.1,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis intermedius,8,10.3,-84.82,Tropical
Anolis,lemurinus,37.3,12.9,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis lemurinus,9,10.42,-84.02,Tropical
Anolis,limifrons,36.8,12.3,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis limifrons,14,10.42,-84.02,Tropical
Anolis,lionotus,36.7,14.7,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis lionotus,9,10.42,-84.02,Tropical
Anolis,tropidolepis,33.1,9.5,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis tropidolepis,11,10.3,-84.82,Tropical
Ameiva,festiva,43.7,15.5,Chordata,Lepidosauria,Squamata,Teiidae,America festiva,20,10.5,-84,Tropical
Lepidophyma,flavimaculatum,38,11.3,Chordata,Lepidosauria,Squamata,Xantusiidae,Lepidophyma flavimaculatum,6,10.45,-84.02,Tropical
Sceloporus,malachiticus,42.8,9.7,Chordata,Lepidosauria,Squamata,Iguanidae,Sceloporus malachiticus,7,10.3,-84.1,Tropical
Sceloporus,variabilis,43.1,10.2,Chordata,Lepidosauria,Squamata,Iguanidae,Sceloporus variabilis,9,10.5,-85.3,Tropical
Thamnophis,melanogaster,NA,6.1,Chordata,Lepidosauria,Squamata,Colubridae,Thamnophis melanogaster,23,20.25,-103,Tropical
Macrobrachium,acanthurus,38.1,14.8,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium acanthurus,200,18,-92.9,Tropical
Callinectes,danae,40,5,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes danae,8,9.5,-78,Tropical
Uca,mordax,45,10,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Minuca mordax,8,9.5,-78,Tropical
Armases,ricordi,40,NA,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Armases ricordi,8,9.5,-78,Tropical
Clibanarius,antillensis,40,NA,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius antillensis,8,9.5,-78,Tropical
Hydrochoerus,hydrochaeris,33,22,Chordata,Mammalia,Rodentia,Hydrochaeridae,Hydrochoerus hydrochaeris,1,7.15,-66.08,Tropical
Myoprocta,acouchy,30,25,Chordata,Mammalia,Rodentia,Dasyproctidae,Myoprocta acouchy,2,4.57,-55.65,Tropical
Glossophaga,longirostris,37,31.5,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga longirostris,9,11.47,-70.14,Tropical
Gerbillus,pusillus,38,31.4,Chordata,Mammalia,Rodentia,Muridae,Gerbillus pusillus,12,0.63,37.47,Tropical
Nasua,nasua,33,25,Chordata,Mammalia,Carnivora,Procyonidae,Nasua nasua,2,7.43,-82.53,Tropical
Saccopteryx,bilineata,35,30,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx bilineata,16,10.25,-85.05,Tropical
Natalus,tumidirostris,35,28,Chordata,Mammalia,Chiroptera,Natalidae,Natalus tumidirostris,27,11.47,-70.14,Tropical
Isthmomys,pirrensis,34,32,Chordata,Mammalia,Rodentia,Cricetidae,Nephelomys pirrensis,7,7.52,-77.5,Tropical
Liomys,salvini,34,31,Chordata,Mammalia,Rodentia,Heteromyidae,Liomys salvini,8,12.08,-86.15,Tropical
Galerella,sanguinea,37,26,Chordata,Mammalia,Carnivora,Herpestidae,Galerella sanguinea,7,10.21,40.24,Tropical
Myotis,keaysi,33.4,29.2,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis keaysi,12,8.7,-71.4,Tropical
Myotis,oxyotus,32.5,25.2,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis oxyotus,12,8.6,-71.1,Tropical
Tarsius,syrichta,35,32,Chordata,Mammalia,Primates,Tarsiidae,Carlito syrichta,4,9.85,124.14,Tropical
Artibeus,cinereus,34,28,Chordata,Mammalia,Chiroptera,Phyllostomidae,Dermanura cinerea,1,16.06,-94.6,Tropical
Caluromys,derbianus,35,26.36,Chordata,Mammalia,Didelphimorphia,Didelphidae,Caluromys derbianus,4,9.08,-79.42,Tropical
Marmosa,robinsoni,36,26,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa robinsoni,5,8.53,-80.78,Tropical
Metachirus,nudicaudatus,36,27.5,Chordata,Mammalia,Didelphimorphia,Didelphidae,Metachirus nudicaudatus,3,9.33,-79.39,Tropical
Philander,opossum,36,29.5,Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander opossum,5,9.01,-79.5,Tropical
Cannomys,badius,34.5,26.74,Chordata,Mammalia,Rodentia,Spalacidae,Cannomys badius,5,15.52,100.59,Tropical
Cabassous,centralis,32.5,27.5,Chordata,Mammalia,Cingulata,Dasypodidae,Cabassous centralis,3,8.38,-80.46,Tropical
Cynopterus,brachyotis,37,30,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus brachyotis,14,4.53,114.56,Tropical
Eonycteris,spelaea,32.5,26,Chordata,Mammalia,Chiroptera,Pteropodidae,Eonycteris spelaea,7,3.85,114.43,Tropical
Hipposideros,galeritus,32,29,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros galeritus,7,3.86,114.43,Tropical
Arctictis,binturong,36,27,Chordata,Mammalia,Carnivora,Viverridae,Arctictis binturong,2,16.02,98.36,Tropical
Nandinia,binotata,34,27,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia binotata,1,2.48,11.98,Tropical
Paradoxurus,hermaphroditus,36,27,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus hermaphroditus,2,21.77,95.89,Tropical
Capromys,pilorides,37,24,Chordata,Mammalia,Rodentia,Capromyidae,Capromys pilorides,1,21.07384,-80.0668,Tropical
Potos,flavus,30,23,Chordata,Mammalia,Carnivora,Procyonidae,Potos flavus,2,6.58,-74.17,Tropical
Megadontomys,thomasi,35,28.3,Chordata,Mammalia,Rodentia,Cricetidae,Megadontomys thomasi,9,20.5,-98.4,Tropical
Gerbillus,pyramidum,31,30,Chordata,Mammalia,Rodentia,Muridae,Gerbillus pyramidum,21,2.02,22.52,Tropical
Monophyllus,redmani,35,31,Chordata,Mammalia,Chiroptera,Phyllostomidae,Monophyllus redmani,39,18.39,-67.15,Tropical
Pteronotus,quadridens,38,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus quadridens,67,18.39,-67.15,Tropical
Procavia,capensis,35,27,Chordata,Mammalia,Hyracoidea,procaviidae,Procavia capensis,3,0.22,37.54,Tropical
Tragulus,javanicus,29,26.6,Chordata,Mammalia,Ruminantia,Tragulidae,Tragulus javanicus,5,3.45,101.41,Tropical
Nycticebus,pygmaeus,35,27.5,Chordata,Mammalia,Primates,Lorisidae,Nycticebus pygmaeus,6,23.07,104.03,Tropical
Agouti,paca,NA,28,Chordata,Mammalia,Rodentia,Cuniculidae,Cuniculus paca,2,11,-69.6,Tropical
Dasyprocta,leporina,NA,20,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta leporina,1,10.22,-66.48,Tropical
Choeroniscus,godmani,NA,32,Chordata,Mammalia,Chiroptera,Phyllostomidae,Choeroniscus godmani,16,11.47,-70.14,Tropical
Leptonycteris,curasoae,NA,30.5,Chordata,Mammalia,Chiroptera,Phyllostomidae,Leptonycteris curasoae,15,11.47,-70.14,Tropical
Mormoops,megalophylla,NA,33.5,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops megalophylla,15,10.1,-63.3,Tropical
Pteronotus,davyi,NA,34.5,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus davyi,15,10.1,-63.3,Tropical
Pteronotus,parnellii,NA,34,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus parnellii,12,11.4,-70,Tropical
Pteronotus,personatus,NA,34,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus personatus,12,10.1,-63.3,Tropical
Peropteryx,macrotis,NA,30.5,Chordata,Mammalia,Chiroptera,Emballonuridae,Peropteryx macrotis,33,11.25,-69.51,Tropical
Chironectes,minimus,NA,24.5,Chordata,Mammalia,Didelphimorphia,Didelphidae,Chironectes minimus,3,8.32,-80.46,Tropical
Didelphis,marsupialis,NA,25.5,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis marsupialis,2,23.38,-79.53,Tropical
Monodelphis,brevicaudata,NA,28.76,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis brevicaudata,2,10.42,-70.57,Tropical
Heteromys,anomalus,NA,26,Chordata,Mammalia,Rodentia,Heteromyidae,Heteromys anomalus,2,9.1,-64.37,Tropical
Priodontes,maximus,NA,27,Chordata,Mammalia,Cingulata,Dasypodidae,Priodontes maximus,1,4.51,-58.55,Tropical
Elephantulus,rufescens,NA,33,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus rufescens,6,1.007864,37.97849,Tropical
Tamandua,mexicana,NA,19,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua mexicana,3,9.1,-79.7,Tropical
Arctogalidia,trivirgata,NA,19,Chordata,Mammalia,Carnivora,Viverridae,Arctogalidia trivirgata,4,18.04,98.44,Tropical
Bradypus,variegatus,NA,18,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus variegatus,10,9.1,-79.72,Tropical
Choloepus,hoffmanni,NA,24,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus hoffmanni,NA,8.88,-74.53,Tropical
Peromyscus,megadontomys,NA,27.1,Chordata,Mammalia,Rodentia,Cricetidae,NA,6,17.55,-99.5,Tropical
Erophylla,bombifrons,NA,30,Chordata,Mammalia,Chiroptera,Phyllostomidae,Erophylla bombifrons,35,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Mormoops,blainvillei,NA,30,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,52,18.39,-67.15,Tropical
Callithrix,geoffroyi,NA,20,Chordata,Mammalia,Primates,Cebidae,Callithrix geoffroyi,1,9.1,-79.8,Tropical
Nasua,narica,NA,21,Chordata,Mammalia,Carnivora,Procyonidae,Nasua narica,2,9.1,-79.8,Tropical
Procyon,cancrivorus,NA,27,Chordata,Mammalia,Carnivora,Procyonidae,Procyon cancrivorus,1,9.1,-79.8,Tropical
Proechimys,semispinosus,NA,24.5,Chordata,Mammalia,Rodentia,Echimyidae,Proechimys semispinosus,1,9.1,-79.8,Tropical
Crocidura,olivieri,NA,27.5,Chordata,Mammalia,Insectivora,Soricidae,Crocidura olivieri,11,6.81,-5.26,Tropical
Crocidura,poensis,NA,30,Chordata,Mammalia,Insectivora,Soricidae,Crocidura poensis,6,5.35,-4.02,Tropical
Crocidura,jouvenetae,NA,31,Chordata,Mammalia,Insectivora,Soricidae,Crocidura jouvenetae,3,5.35,-4.02,Tropical
Crocidura,viaria,NA,31,Chordata,Mammalia,Insectivora,Soricidae,Crocidura viaria,6,14.68,-0.46,Tropical
Vulpes,cana,NA,20,Chordata,Mammalia,Carnivora,Canidae,Vulpes cana,2,20.8,40.8,Tropical
Dictyota,dichotoma,32,5,Phaeophyceae,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota dichotoma,NA,10.448419,-64.197836,Tropical
Dictyota,divaricata,33.5,8,Phaeophyceae,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota divaricata,NA,17.953043,-67.154763,Tropical
Cladophoropsis,membranacea,35,1,Chlorophyta,Ulvophyceae,Cladophorales,Siphonocladaceae,Cladophoropsis membranacea,NA,17.953043,-67.154763,Tropical
Rhizoclonium,africanum,35,-2,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium africanum,NA,17.953043,-67.154763,Tropical
Ulva,fasciata,35,NA,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva lactuca,NA,17.953043,-67.154763,Tropical
Cladophora,crispula ,35,NA,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,NA,NA,17.953043,-67.154763,Tropical
Cladophora,fascicularis,35,NA,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora vagabunda,NA,17.953043,-67.154763,Tropical
Ulva,flexuosa,35,NA,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva flexuosa,NA,17.953043,-67.154763,Tropical
Chaetomorpha,crassa,NA,11,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Chaetomorpha linum,NA,10.448419,-64.197836,Tropical
Phyllodictyon,anastomosans,NA,3,Chlorophyta,Ulvophyceae,Cladophorales,Siphonocladaceae,Phyllodictyon anastomosans,NA,10.448419,-64.197836,Tropical
Lepomis,gibbosus,35.1,1.7,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis gibbosus,24,46.2,-119,Temperate
Cyprinodon,variegatus,44.2,6.9,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon variegatus,100,26,-97.15,Temperate
Oncorhynchus,keta,23.2,-0.7,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus keta,NA,52,-128.9,Temperate
Oncorhynchus,nerka,21.5,-0.7,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus nerka,NA,52,-128.9,Temperate
Oncorhynchus,kisutch,27.5,0,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus kisutch,60,49.4,-123.4,Temperate
Oncorhynchus,tshawytscha,28,0,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus tshawytscha,60,48.1,-123.1,Temperate
Fundulus,heteroclitus,40.5,NA,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus heteroclitus,20,37.16,-76.5,Temperate
Poeciliopsis,occidentalis,38.4,4.8,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poeciliopsis occidentalis,12,33,-111,Temperate
Rhinichthys,osculus,34.4,6.7,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Rhinichthys osculus,12,33,-111,Temperate
Agosia,chrysogaster,38.2,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Agosia chrysogaster,12,33,-111,Temperate
Catostomus,clarkii,35.1,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus clarkii,12,33,-111,Temperate
Cyprinodon,macularius,40,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon macularius,12,33,-111,Temperate
Gila,elegans,37.2,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gila elegans,12,33,-111,Temperate
Gila,intermedia,37,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gila intermedia,12,33,-111,Temperate
Gila,robusta,36.6,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gila robusta,12,33,-111,Temperate
Meda,fulgida,34.7,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Meda fulgida,12,33,-111,Temperate
Rhinichthys,cobitis,35.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Rhinichthys cobitis,12,33,-111,Temperate
Xyrauchen,texanus,36.7,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Xyrauchen texanus,12,33,-111,Temperate
Catostomus,snyderi,32.6,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus snyderi,NA,42.5,-122,Temperate
Chasmistes,brevirostris,32.7,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Chasmistes brevirostris,NA,42.5,-122,Temperate
Gila,coerulea,31.5,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Gila coerulea,NA,42.5,-122,Temperate
Lepomis,cyanellus,36.2,3.2,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis cyanellus,10,33.2,-97.1,Temperate
Girella,nigricans,34.5,5.3,Chordata,Actinopteri,Perciformes,Kyphosidae,Girella nigricans,12,34,-120.8,Temperate
Atherinops,affinis,33.4,5.9,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Atherinops affinis,13,33,-117.5,Temperate
Fundulus,parvipinnis,36.1,2.2,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus parvipinnis,13,33,-117.5,Temperate
Salmo,salar,31,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo salar,4,54,-3,Temperate
Gasterosteus,aculeatus,34.6,NA,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus aculeatus,10,34.4,-118.5,Temperate
Cyprinodon,nevadensis_amargosae,42.5,0.75,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,NA,20,36,-117,Temperate
Tautogolabrus,adspersus,30,0.6,Chordata,Actinopteri,Perciformes,Labridae,Tautogolabrus adspersus,NA,42,-70,Temperate
Oncorhynchus,clarkii,29.9,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus clarkii,NA,48.8,-122.3,Temperate
Notropis,pilsbryi,32.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Luxilus pilsbryi,6,36,-94,Temperate
Cyprinella,spiloptera ,31.8,4.5,Chordata,Actinopteri,Cypriniformes,Cyprinidae,NA,26,39.3,-84.6,Temperate
Luxilus,chrysocephalus,30.8,4.5,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Luxilus chrysocephalus,8,39.3,-84.6,Temperate
Pimephales,notatus,31.3,6.4,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pimephales notatus,9,39.3,-84.6,Temperate
Menidia,menidia,32.5,1.5,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia menidia,NA,40,-74,Temperate
Pseudopleuronectes,americanus,29.1,1,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes americanus,NA,40,-74,Temperate
Sphoeroides,maculatus,32.5,7.6,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides maculatus,NA,40,-74,Temperate
Cottus,bairdi,30.9,NA,Chordata,Actinopteri,Perciformes,Cottidae,Cottus bairdii,NA,43,-78.5,Temperate
Etheostoma,blennioides,32.2,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma blennioides,NA,43,-78.5,Temperate
Hypentelium,nigricans,30.8,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Hypentelium nigricans,NA,43,-78.5,Temperate
Rhinichthys,atratulus,31.9,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Rhinichthys atratulus,NA,43,-78.5,Temperate
Rhinichthys,cataractae,31.4,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Rhinichthys cataractae,NA,43,-78.5,Temperate
Oncorhynchus,apache,29.4,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus apache,NA,33.9,-110.2,Temperate
Oncorhynchus,gilae,29.6,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus gilae,NA,33.5,-108.5,Temperate
Salmo,trutta,29.8,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo trutta,NA,33.9,-110.2,Temperate
Salvelinus,fontinalis,29.8,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus fontinalis,NA,33.9,-110.2,Temperate
Campostoma,anomalum,29.8,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Campostoma anomalum,NA,34.2,-96.6,Temperate
Cyprinella,lutrensis,30.7,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinella lutrensis,NA,34.2,-96.6,Temperate
Etheostoma,spectabile,29.8,NA,Chordata,Actinopteri,Perciformes,Percidae,Etheostoma spectabile,NA,34.2,-96.6,Temperate
Gambusia,affinis,36.88,NA,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia affinis,NA,34.2,-96.6,Temperate
Hybognathus,placitus,28.37,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Hybognathus placitus,NA,34.2,-96.6,Temperate
Hybopsis,amblops,30.1,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Hybopsis amblops,NA,34.2,-96.6,Temperate
Ictalurus,punctatus,31.32,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ictalurus punctatus,NA,34.2,-96.6,Temperate
Ictiobus,bubalus,29.5,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,Ictiobus bubalus,NA,34.2,-96.6,Temperate
Lepomis,gulosus,28.98,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis gulosus,NA,34.2,-96.6,Temperate
Lepomis,macrochirus,30.38,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis macrochirus,NA,34.2,-96.6,Temperate
Lepomis,megalotis,30.87,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis megalotis,NA,34.2,-96.6,Temperate
Lepomis,microlophus,30.8,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Lepomis microlophus,NA,34.2,-96.6,Temperate
Menidia,beryllina,29.24,NA,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia beryllina,NA,34.2,-96.6,Temperate
Micropterus,dolomieu,28.3,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Micropterus dolomieu,NA,34.2,-96.6,Temperate
Micropterus,punctulatus,30.76,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Micropterus punctulatus,NA,34.2,-96.6,Temperate
Micropterus,salmoides,30.69,NA,Chordata,Actinopteri,Perciformes,Centrarchidae,Micropterus salmoides,NA,34.2,-96.6,Temperate
