abundance,year,latitude,longitude,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species,tmax,tmin,n,lat,long,mean_summer_sst_degC
19,2001,41.853664,-66.34742,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,1996,43.481085,-62.316416,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,2005,46.560501,-60.181671,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2000,45.059916,-65.488831,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1999,45.15283,-57.690416,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2009,43.30933,-66.681751,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2005,45.602499,-60.116415,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
268,2010,41.798086,-68.132,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2009,42.953665,-64.80925,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
12,2001,43.564751,-62.272915,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,1995,44.139336,-66.338165,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
24,2010,40.565914,-68.011333,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
15,2002,43.362421,-62.95117,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2006,45.24358,-60.11475,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
20,2003,43.473335,-61.381165,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
10,1997,42.941336,-62.879416,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
10,1998,41.395,-66.08075,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,2005,43.727335,-67.026749,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2004,42.735579,-66.567333,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2005,42.8885,-63.218334,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2004,42.766834,-67.341335,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2005,45.597664,-60.118336,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
3,2000,44.356085,-59.513165,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2003,42.387665,-66.11208,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,2003,43.439337,-63.07625,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
10,2009,41.995335,-67.510666,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
15,2006,44.449835,-61.814579,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,1999,42.89542,-64.94558,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,1997,42.908331,-65.27758,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2003,43.352171,-62.81875,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
10,2001,44.641914,-66.476414,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
109,2002,45.186749,-65.790668,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
22,2001,42.013079,-66.55275,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
18,2001,41.716499,-66.819084,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
11,1996,43.897585,-66.504086,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
10,1999,44.087999,-67.257751,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2004,44.452829,-62.11875,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2005,43.235586,-64.193668,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2008,43.185749,-62.07925,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2005,43.446665,-64.778419,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
