input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Engystomops pustulosus,gbif,GBIF:2423497,Engystomops pustulosus,Animalia,Chordata,Anura,Amphibia,Leptodactylidae,Engystomops,NA,NA
Hyalinobatrachium fleischmanni,gbif,GBIF:2429316,Hyalinobatrachium fleischmanni,Animalia,Chordata,Anura,Amphibia,Centrolenidae,Hyalinobatrachium,NA,NA
Leptodactylus pentadactylus,gbif,GBIF:5217498,Leptodactylus pentadactylus,Animalia,Chordata,Anura,Amphibia,Leptodactylidae,Leptodactylus,NA,NA
Scinax staufferi,gbif,GBIF:5217933,Scinax staufferi,Animalia,Chordata,Anura,Amphibia,Hylidae,Scinax,NA,NA
Cyanerpes cyaneus,gbif,GBIF:2488890,Cyanerpes cyaneus,Animalia,Chordata,Passeriformes,Aves,Thraupidae,Cyanerpes,NA,NA
Gallirallus owstoni,gbif,GBIF:2474548,Gallirallus owstoni,Animalia,Chordata,Gruiformes,Aves,Rallidae,Gallirallus,NA,NA
Aulacorhynchus sulcatus,gbif,GBIF:5229028,Aulacorhynchus sulcatus,Animalia,Chordata,Piciformes,Aves,Ramphastidae,Aulacorhynchus,NA,NA
Todus mexicanus,gbif,GBIF:2475386,Todus mexicanus,Animalia,Chordata,Coraciiformes,Aves,Todidae,Todus,NA,NA
Coereba flaveola,gbif,GBIF:2493744,Coereba flaveola,Animalia,Chordata,Passeriformes,Aves,Coerebidae,Coereba,NA,NA
Trochilus polytmus,gbif,GBIF:5228506,Trochilus polytmus,Animalia,Chordata,Apodiformes,Aves,Trochilidae,Trochilus,NA,NA
Trochilus scitulus,gbif,GBIF:5228505,Trochilus scitulus,Animalia,Chordata,Apodiformes,Aves,Trochilidae,Trochilus,NA,NA
Hylophylax naevioides,gbif,GBIF:5230831,Hylophylax naevioides,Animalia,Chordata,Passeriformes,Aves,Thamnophilidae,Hylophylax,NA,NA
Alaemon alaudipes,gbif,GBIF:2490659,Alaemon alaudipes,Animalia,Chordata,Passeriformes,Aves,Alaudidae,Alaemon,NA,NA
Eremalauda dunni,gbif,GBIF:2490663,Eremalauda dunni,Animalia,Chordata,Passeriformes,Aves,Alaudidae,Eremalauda,NA,NA
Lonchura fuscans,gbif,GBIF:2493619,Lonchura fuscans,Animalia,Chordata,Passeriformes,Aves,Estrildidae,Lonchura,NA,NA
Sporophila corvina,gbif,GBIF:2491356,Sporophila corvina,Animalia,Chordata,Passeriformes,Aves,Thraupidae,Sporophila,NA,NA
Manacus vitellinus,gbif,GBIF:2487668,Manacus vitellinus,Animalia,Chordata,Passeriformes,Aves,Pipridae,Manacus,NA,NA
Pipra mentalis,gbif,GBIF:2487622,Pipra mentalis,Animalia,Chordata,Passeriformes,Aves,Pipridae,Pipra,NA,NA
Aulacorhynchus prasinus,gbif,GBIF:5229012,Aulacorhynchus prasinus,Animalia,Chordata,Piciformes,Aves,Ramphastidae,Aulacorhynchus,NA,NA
Nyctidromus albicollis,gbif,GBIF:2496990,Nyctidromus albicollis,Animalia,Chordata,Caprimulgiformes,Aves,Caprimulgidae,Nyctidromus,NA,NA
Nectarinia kilimensis,gbif,GBIF:5229993,Nectarinia kilimensis,Animalia,Chordata,Passeriformes,Aves,Nectariniidae,Nectarinia,NA,NA
Asparagopsis taxiformis,gbif,GBIF:5279834,Asparagopsis taxiformis,Plantae,Rhodophyta,Bonnemaisoniales,Florideophyceae,Bonnemaisoniaceae,Asparagopsis,NA,NA
Bostrychia tenella,gbif,GBIF:5278155,Bostrychia tenella,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Rhodomelaceae,Bostrychia,NA,NA
Caloglossa leprieurii,gbif,GBIF:2662161,Caloglossa leprieurii,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Delesseriaceae,Caloglossa,NA,NA
Catenella caespitosa,gbif,GBIF:5279220,Catenella caespitosa,Plantae,Rhodophyta,Gigartinales,Florideophyceae,Caulacanthaceae,Catenella,NA,NA
Centroceras clavulatum,gbif,GBIF:5276780,Centroceras clavulatum,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Ceramiaceae,Centroceras,NA,NA
Ceramium nitens,gbif,GBIF:5277067,Ceramium nitens,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Ceramiaceae,Ceramium,NA,NA
Chrysymenia enteromorpha,gbif,GBIF:2663120,Chrysymenia enteromorpha,Plantae,Rhodophyta,Rhodymeniales,Florideophyceae,Rhodymeniaceae,Chrysymenia,NA,NA
Dasya mollis,gbif,GBIF:2659186,Dasya mollis,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Dasyaceae,Dasya,NA,NA
Dictyurus occidentalis,gbif,GBIF:2658972,Dictyurus occidentalis,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Dasyaceae,Dictyurus,NA,NA
Griffithsia globulifera,gbif,GBIF:2657553,Griffithsia globulifera,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Wrangeliaceae,Griffithsia,NA,NA
Hypnea musciformis,gbif,GBIF:9802728,Hypnea musciformis,Plantae,Rhodophyta,Gigartinales,Florideophyceae,Cystocloniaceae,Hypnea,NA,NA
Meristotheca gelidium,gbif,GBIF:4375827,Meristotheca gelidium,Plantae,Rhodophyta,Gigartinales,Florideophyceae,Solieriaceae,Meristotheca,NA,NA
Murrayella periclados,gbif,GBIF:2652689,Murrayella periclados,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Rhodomelaceae,Murrayella,NA,NA
Neosiphonia ferulacea,gbif,GBIF:5730057,Neosiphonia ferulacea,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Rhodomelaceae,Neosiphonia,NA,NA
Spyridia filamentosa,gbif,GBIF:2657164,Spyridia filamentosa,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Spyridiaceae,Spyridia,NA,NA
Wrangelia bicuspidata,gbif,GBIF:2657812,Wrangelia bicuspidata,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Wrangeliaceae,Wrangelia,NA,NA
Yuzurua poiteaui,gbif,GBIF:6452946,Yuzurua poiteaui,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Rhodomelaceae,Yuzurua,NA,NA
Spyridia hypnoides,gbif,GBIF:2657182,Spyridia hypnoides,Plantae,Rhodophyta,Ceramiales,Florideophyceae,Spyridiaceae,Spyridia,NA,NA
Gracilaria coronopifolia,gbif,GBIF:5278913,Gracilaria coronopifolia,Plantae,Rhodophyta,Gracilariales,Florideophyceae,Gracilariaceae,Gracilaria,NA,NA
Gracilaria debilis,gbif,GBIF:5278972,Gracilaria debilis,Plantae,Rhodophyta,Gracilariales,Florideophyceae,Gracilariaceae,Gracilaria,NA,NA
