input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Cannomys badius,gbif,GBIF:2438494,Cannomys badius,Animalia,Chordata,Rodentia,Mammalia,Spalacidae,Cannomys,NA,NA
Cabassous centralis,gbif,GBIF:2440806,Cabassous centralis,Animalia,Chordata,Cingulata,Mammalia,Dasypodidae,Cabassous,NA,NA
Cynopterus brachyotis,gbif,GBIF:2432837,Cynopterus brachyotis,Animalia,Chordata,Chiroptera,Mammalia,Pteropodidae,Cynopterus,NA,NA
Hipposideros galeritus,gbif,GBIF:5218606,Hipposideros galeritus,Animalia,Chordata,Chiroptera,Mammalia,Hipposideridae,Hipposideros,NA,NA
Arctictis binturong,gbif,GBIF:2434615,Arctictis binturong,Animalia,Chordata,Carnivora,Mammalia,Viverridae,Arctictis,NA,NA
Nandinia binotata,gbif,GBIF:2433489,Nandinia binotata,Animalia,Chordata,Carnivora,Mammalia,Nandiniidae,Nandinia,NA,NA
Paradoxurus hermaphroditus,gbif,GBIF:2434708,Paradoxurus hermaphroditus,Animalia,Chordata,Carnivora,Mammalia,Viverridae,Paradoxurus,NA,NA
Capromys pilorides,gbif,GBIF:2437653,Capromys pilorides,Animalia,Chordata,Rodentia,Mammalia,Capromyidae,Capromys,NA,NA
Potos flavus,gbif,GBIF:2433573,Potos flavus,Animalia,Chordata,Carnivora,Mammalia,Procyonidae,Potos,NA,NA
Megadontomys thomasi,gbif,GBIF:2438695,Megadontomys thomasi,Animalia,Chordata,Rodentia,Mammalia,Cricetidae,Megadontomys,NA,NA
Gerbillus pyramidum,gbif,GBIF:2437811,Gerbillus pyramidum,Animalia,Chordata,Rodentia,Mammalia,Muridae,Gerbillus,NA,NA
Monophyllus redmani,gbif,GBIF:2433240,Monophyllus redmani,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Monophyllus,NA,NA
Pteronotus quadridens,gbif,GBIF:5218623,Pteronotus quadridens,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,NA,NA
Procavia capensis,gbif,GBIF:5219598,Procavia capensis,Animalia,Chordata,Hyracoidea,Mammalia,Procaviidae,Procavia,NA,NA
Tragulus javanicus,gbif,GBIF:5220187,Tragulus javanicus,Animalia,Chordata,Artiodactyla,Mammalia,Tragulidae,Tragulus,NA,NA
Nycticebus pygmaeus,gbif,GBIF:2436628,Nycticebus pygmaeus,Animalia,Chordata,Primates,Mammalia,Lorisidae,Nycticebus,NA,NA
Dasyprocta leporina,gbif,GBIF:2437577,Dasyprocta leporina,Animalia,Chordata,Rodentia,Mammalia,Dasyproctidae,Dasyprocta,NA,NA
Choeroniscus godmani,gbif,GBIF:2433161,Choeroniscus godmani,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Choeroniscus,NA,NA
Leptonycteris curasoae,gbif,GBIF:2433316,Leptonycteris curasoae,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Leptonycteris,NA,NA
Mormoops megalophylla,gbif,GBIF:2432759,Mormoops megalophylla,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,NA,NA
Pteronotus davyi,gbif,GBIF:5218622,Pteronotus davyi,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,NA,NA
Pteronotus parnellii,gbif,GBIF:5218620,Pteronotus parnellii,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,NA,NA
Pteronotus personatus,gbif,GBIF:5218619,Pteronotus personatus,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,NA,NA
Peropteryx macrotis,gbif,GBIF:2433140,Peropteryx macrotis,Animalia,Chordata,Chiroptera,Mammalia,Emballonuridae,Peropteryx,NA,NA
Chironectes minimus,gbif,GBIF:5219955,Chironectes minimus,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Chironectes,NA,NA
Didelphis marsupialis,gbif,GBIF:2439920,Didelphis marsupialis,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Didelphis,NA,NA
Monodelphis brevicaudata,gbif,GBIF:2439971,Monodelphis brevicaudata,Animalia,Chordata,Didelphimorphia,Mammalia,Didelphidae,Monodelphis,NA,NA
Heteromys anomalus,gbif,GBIF:2439570,Heteromys anomalus,Animalia,Chordata,Rodentia,Mammalia,Heteromyidae,Heteromys,NA,NA
Priodontes maximus,gbif,GBIF:5220096,Priodontes maximus,Animalia,Chordata,Cingulata,Mammalia,Dasypodidae,Priodontes,NA,NA
Elephantulus rufescens,gbif,GBIF:2440848,Elephantulus rufescens,Animalia,Chordata,Macroscelidea,Mammalia,Macroscelididae,Elephantulus,NA,NA
Tamandua mexicana,gbif,GBIF:2436335,Tamandua mexicana,Animalia,Chordata,Pilosa,Mammalia,Myrmecophagidae,Tamandua,NA,NA
Arctogalidia trivirgata,gbif,GBIF:2434742,Arctogalidia trivirgata,Animalia,Chordata,Carnivora,Mammalia,Viverridae,Arctogalidia,NA,NA
Bradypus variegatus,gbif,GBIF:2436353,Bradypus variegatus,Animalia,Chordata,Pilosa,Mammalia,Bradypodidae,Bradypus,NA,NA
Choloepus hoffmanni,gbif,GBIF:5219520,Choloepus hoffmanni,Animalia,Chordata,Pilosa,Mammalia,Megalonychidae,Choloepus,NA,NA
Erophylla bombifrons,gbif,GBIF:2433151,Erophylla bombifrons,Animalia,Chordata,Chiroptera,Mammalia,Phyllostomidae,Erophylla,NA,NA
Mormoops blainvillei,gbif,GBIF:4265453,Mormoops blainvillei,Animalia,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,NA,NA
Callithrix geoffroyi,gbif,GBIF:5219539,Callithrix geoffroyi,Animalia,Chordata,Primates,Mammalia,Callitrichidae,Callithrix,NA,NA
Nasua narica,gbif,GBIF:2433531,Nasua narica,Animalia,Chordata,Carnivora,Mammalia,Procyonidae,Nasua,NA,NA
Procyon cancrivorus,gbif,GBIF:9518324,Procyon cancrivorus,Animalia,Chordata,Carnivora,Mammalia,Procyonidae,Procyon,NA,NA
Proechimys semispinosus,gbif,GBIF:2439789,Proechimys semispinosus,Animalia,Chordata,Rodentia,Mammalia,Echimyidae,Proechimys,NA,NA
Crocidura olivieri,gbif,GBIF:2435579,Crocidura olivieri,Animalia,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,NA,NA
Crocidura poensis,gbif,GBIF:2435577,Crocidura poensis,Animalia,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,NA,NA
Crocidura jouvenetae,gbif,GBIF:2435601,Crocidura jouvenetae,Animalia,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,NA,NA
Crocidura viaria,gbif,GBIF:2435630,Crocidura viaria,Animalia,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,NA,NA
Vulpes cana,gbif,GBIF:5219235,Vulpes cana,Animalia,Chordata,Carnivora,Mammalia,Canidae,Vulpes,NA,NA
Dictyota dichotoma,gbif,GBIF:5423480,Dictyota dichotoma,Chromista,Ochrophyta,Dictyotales,Phaeophyceae,Dictyotaceae,Dictyota,NA,NA
Dictyota divaricata,gbif,GBIF:5423520,Dictyota divaricata,Chromista,Ochrophyta,Dictyotales,Phaeophyceae,Dictyotaceae,Dictyota,NA,NA
Cladophoropsis membranacea,gbif,GBIF:2644890,Cladophoropsis membranacea,Plantae,Chlorophyta,Siphonocladales,Ulvophyceae,Boodleaceae,Cladophoropsis,NA,NA
Ulva flexuosa,gbif,GBIF:5273507,Ulva flexuosa,Plantae,Chlorophyta,Ulvales,Ulvophyceae,Ulvaceae,Ulva,NA,NA
Phyllodictyon anastomosans,gbif,GBIF:7864030,Phyllodictyon anastomosans,Plantae,Chlorophyta,Siphonocladales,Ulvophyceae,Boodleaceae,Phyllodictyon,NA,NA
Lepomis gibbosus,gbif,GBIF:2394486,Lepomis gibbosus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Cyprinodon variegatus,gbif,GBIF:4284440,Cyprinodon variegatus,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,NA,NA
Oncorhynchus keta,gbif,GBIF:5204014,Oncorhynchus keta,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Oncorhynchus nerka,gbif,GBIF:5204039,Oncorhynchus nerka,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Oncorhynchus kisutch,gbif,GBIF:5204034,Oncorhynchus kisutch,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Oncorhynchus tshawytscha,gbif,GBIF:5204024,Oncorhynchus tshawytscha,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Fundulus heteroclitus,gbif,GBIF:5712056,Fundulus heteroclitus,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,NA,NA
Poeciliopsis occidentalis,gbif,GBIF:2350470,Poeciliopsis occidentalis,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Poeciliopsis,NA,NA
Rhinichthys osculus,gbif,GBIF:2359791,Rhinichthys osculus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhinichthys,NA,NA
Agosia chrysogaster,gbif,GBIF:2359113,Agosia chrysogaster,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Agosia,NA,NA
Catostomus clarkii,gbif,GBIF:2359050,Catostomus clarkii,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,NA,NA
Cyprinodon macularius,gbif,GBIF:2347892,Cyprinodon macularius,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,NA,NA
Gila elegans,gbif,GBIF:2360109,Gila elegans,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,NA,NA
Gila intermedia,gbif,GBIF:2360136,Gila intermedia,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,NA,NA
Gila robusta,gbif,GBIF:2360128,Gila robusta,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,NA,NA
Meda fulgida,gbif,GBIF:2361250,Meda fulgida,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Meda,NA,NA
Rhinichthys cobitis,gbif,GBIF:2359827,Rhinichthys cobitis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhinichthys,NA,NA
Xyrauchen texanus,gbif,GBIF:2359095,Xyrauchen texanus,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Xyrauchen,NA,NA
Catostomus snyderi,gbif,GBIF:2359035,Catostomus snyderi,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,NA,NA
Chasmistes brevirostris,gbif,GBIF:2359089,Chasmistes brevirostris,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Chasmistes,NA,NA
Gila coerulea,gbif,GBIF:2360123,Gila coerulea,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,NA,NA
Lepomis cyanellus,gbif,GBIF:2394494,Lepomis cyanellus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Girella nigricans,gbif,GBIF:2381219,Girella nigricans,Animalia,Chordata,Perciformes,Actinopterygii,Kyphosidae,Girella,NA,NA
Atherinops affinis,gbif,GBIF:2412419,Atherinops affinis,Animalia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Atherinops,NA,NA
Fundulus parvipinnis,gbif,GBIF:5203664,Fundulus parvipinnis,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,NA,NA
Salmo salar,gbif,GBIF:7595433,Salmo salar,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Salmo,NA,NA
Gasterosteus aculeatus,gbif,GBIF:4286327,Gasterosteus aculeatus,Animalia,Chordata,Gasterosteiformes,Actinopterygii,Gasterosteidae,Gasterosteus,NA,NA
Tautogolabrus adspersus,gbif,GBIF:2382945,Tautogolabrus adspersus,Animalia,Chordata,Perciformes,Actinopterygii,Labridae,Tautogolabrus,NA,NA
Oncorhynchus clarkii,gbif,GBIF:5711980,Oncorhynchus clarkii,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Luxilus chrysocephalus,gbif,GBIF:2366993,Luxilus chrysocephalus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Luxilus,NA,NA
Pimephales notatus,gbif,GBIF:2367736,Pimephales notatus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,NA,NA
Menidia menidia,gbif,GBIF:2412304,Menidia menidia,Animalia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Menidia,NA,NA
Pseudopleuronectes americanus,gbif,GBIF:2409062,Pseudopleuronectes americanus,Animalia,Chordata,Pleuronectiformes,Actinopterygii,Pleuronectidae,Pseudopleuronectes,NA,NA
Sphoeroides maculatus,gbif,GBIF:2407857,Sphoeroides maculatus,Animalia,Chordata,Tetraodontiformes,Actinopterygii,Tetraodontidae,Sphoeroides,NA,NA
Etheostoma blennioides,gbif,GBIF:2382397,Etheostoma blennioides,Animalia,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,NA,NA
Hypentelium nigricans,gbif,GBIF:2358931,Hypentelium nigricans,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Hypentelium,NA,NA
Rhinichthys atratulus,gbif,GBIF:2359823,Rhinichthys atratulus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhinichthys,NA,NA
Rhinichthys cataractae,gbif,GBIF:2359811,Rhinichthys cataractae,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhinichthys,NA,NA
Oncorhynchus apache,gbif,GBIF:5204012,Oncorhynchus apache,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Oncorhynchus gilae,gbif,GBIF:5204032,Oncorhynchus gilae,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,NA,NA
Salmo trutta,gbif,GBIF:8215487,Salmo trutta,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Salmo,NA,NA
Salvelinus fontinalis,gbif,GBIF:2351271,Salvelinus fontinalis,Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Salvelinus,NA,NA
Campostoma anomalum,gbif,GBIF:2361357,Campostoma anomalum,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Campostoma,NA,NA
Cyprinella lutrensis,gbif,GBIF:5207666,Cyprinella lutrensis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Cyprinella,NA,NA
Gambusia affinis,gbif,GBIF:2350580,Gambusia affinis,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,NA,NA
Hybognathus placitus,gbif,GBIF:2364391,Hybognathus placitus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Hybognathus,NA,NA
Hybopsis amblops,gbif,GBIF:2366620,Hybopsis amblops,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Hybopsis,NA,NA
Ictalurus punctatus,gbif,GBIF:5202520,Ictalurus punctatus,Animalia,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ictalurus,NA,NA
Ictiobus bubalus,gbif,GBIF:2359075,Ictiobus bubalus,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Ictiobus,NA,NA
Lepomis gulosus,gbif,GBIF:2394507,Lepomis gulosus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Lepomis macrochirus,gbif,GBIF:2394503,Lepomis macrochirus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Lepomis megalotis,gbif,GBIF:2394510,Lepomis megalotis,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Lepomis microlophus,gbif,GBIF:2394501,Lepomis microlophus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Menidia beryllina,gbif,GBIF:2412295,Menidia beryllina,Animalia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Menidia,NA,NA
Micropterus dolomieu,gbif,GBIF:5211250,Micropterus dolomieu,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Micropterus,NA,NA
Micropterus punctulatus,gbif,GBIF:5211245,Micropterus punctulatus,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Micropterus,NA,NA
Micropterus salmoides,gbif,GBIF:2394563,Micropterus salmoides,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Micropterus,NA,NA
Notemigonus crysoleucas,gbif,GBIF:2363714,Notemigonus crysoleucas,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notemigonus,NA,NA
Notropis atherinoides,gbif,GBIF:2362170,Notropis atherinoides,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Phenacobius mirabilis,gbif,GBIF:2363799,Phenacobius mirabilis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Phenacobius,NA,NA
Dicentrarchus labrax,gbif,GBIF:2394622,Dicentrarchus labrax,Animalia,Chordata,Perciformes,Actinopterygii,Moronidae,Dicentrarchus,NA,NA
Diplodus sargus,gbif,GBIF:5210968,Diplodus sargus,Animalia,Chordata,Perciformes,Actinopterygii,Sparidae,Diplodus,NA,NA
Diplodus vulgaris,gbif,GBIF:5210979,Diplodus vulgaris,Animalia,Chordata,Perciformes,Actinopterygii,Sparidae,Diplodus,NA,NA
Gobius niger,gbif,GBIF:2375526,Gobius niger,Animalia,Chordata,Perciformes,Actinopterygii,Gobiidae,Gobius,NA,NA
Diplodus bellottii,gbif,GBIF:5210969,Diplodus bellottii,Animalia,Chordata,Perciformes,Actinopterygii,Sparidae,Diplodus,NA,NA
Gobius cobitis,gbif,GBIF:2376491,Gobius cobitis,Animalia,Chordata,Perciformes,Actinopterygii,Gobiidae,Gobius,NA,NA
Lipophrys trigloides,gbif,GBIF:2395404,Lipophrys trigloides,Animalia,Chordata,Perciformes,Actinopterygii,Blenniidae,Lipophrys,NA,NA
Pegusa lascaris,gbif,GBIF:2409966,Pegusa lascaris,Animalia,Chordata,Pleuronectiformes,Actinopterygii,Soleidae,Pegusa,NA,NA
Notropis girardi,gbif,GBIF:2362242,Notropis girardi,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Notropis cummingsae,gbif,GBIF:2362208,Notropis cummingsae,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Notropis lutipinnis,gbif,GBIF:2362319,Notropis lutipinnis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Gambusia holbrooki,gbif,GBIF:2350570,Gambusia holbrooki,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,NA,NA
Carpiodes cyprinus,gbif,GBIF:2358950,Carpiodes cyprinus,Animalia,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Carpiodes,NA,NA
Cottus cognatus,gbif,GBIF:2334185,Cottus cognatus,Animalia,Chordata,Scorpaeniformes,Actinopterygii,Cottidae,Cottus,NA,NA
Alosa pseudoharengus,gbif,GBIF:2412740,Alosa pseudoharengus,Animalia,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Alosa,NA,NA
Pimephales vigilax,gbif,GBIF:2367733,Pimephales vigilax,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,NA,NA
Pungitius pungitius,gbif,GBIF:5739510,Pungitius pungitius,Animalia,Chordata,Gasterosteiformes,Actinopterygii,Gasterosteidae,Pungitius,NA,NA
Ameiurus melas,gbif,GBIF:2340977,Ameiurus melas,Animalia,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ameiurus,NA,NA
Ameiurus natalis,gbif,GBIF:2340969,Ameiurus natalis,Animalia,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ameiurus,NA,NA
Etheostoma caeruleum,gbif,GBIF:2382341,Etheostoma caeruleum,Animalia,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,NA,NA
Etheostoma nigrum,gbif,GBIF:2382319,Etheostoma nigrum,Animalia,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,NA,NA
Fundulus notatus,gbif,GBIF:5203690,Fundulus notatus,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,NA,NA
Fundulus olivaceus,gbif,GBIF:5203637,Fundulus olivaceus,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,NA,NA
Fundulus sciadicus,gbif,GBIF:5203693,Fundulus sciadicus,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,NA,NA
Labidesthes sicculus,gbif,GBIF:2412271,Labidesthes sicculus,Animalia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Labidesthes,NA,NA
Lepomis humilis,gbif,GBIF:2394483,Lepomis humilis,Animalia,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,NA,NA
Luxilus cornutus,gbif,GBIF:2366967,Luxilus cornutus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Luxilus,NA,NA
Luxilus zonatus,gbif,GBIF:2366990,Luxilus zonatus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Luxilus,NA,NA
Lythrurus umbratilis,gbif,GBIF:2366052,Lythrurus umbratilis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Lythrurus,NA,NA
Nocomis biguttatus,gbif,GBIF:2365443,Nocomis biguttatus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Nocomis,NA,NA
Notropis dorsalis,gbif,GBIF:2366615,Notropis dorsalis,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Notropis nubilus,gbif,GBIF:2362271,Notropis nubilus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Notropis rubellus,gbif,GBIF:2362326,Notropis rubellus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Notropis stramineus,gbif,GBIF:2362216,Notropis stramineus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,NA,NA
Noturus exilis,gbif,GBIF:2341039,Noturus exilis,Animalia,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Noturus,NA,NA
Pimephales promelas,gbif,GBIF:2367742,Pimephales promelas,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,NA,NA
Semotilus atromaculatus,gbif,GBIF:2360481,Semotilus atromaculatus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Semotilus,NA,NA
Etheostoma cragini,gbif,GBIF:2382268,Etheostoma cragini,Animalia,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,NA,NA
Engraulis japonicus,gbif,GBIF:2413997,Engraulis japonicus,Animalia,Chordata,Clupeiformes,Actinopterygii,Engraulidae,Engraulis,NA,NA
Hypomesus nipponensis,gbif,GBIF:2410890,Hypomesus nipponensis,Animalia,Chordata,Osmeriformes,Actinopterygii,Osmeridae,Hypomesus,NA,NA
Hypomesus transpacificus,gbif,GBIF:2410879,Hypomesus transpacificus,Animalia,Chordata,Osmeriformes,Actinopterygii,Osmeridae,Hypomesus,NA,NA
Pogonichthys macrolepidotus,gbif,GBIF:2359766,Pogonichthys macrolepidotus,Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pogonichthys,NA,NA
Zoarces viviparus,gbif,GBIF:2381013,Zoarces viviparus,Animalia,Chordata,Perciformes,Actinopterygii,Zoarcidae,Zoarces,NA,NA
Poeciliopsis monacha,gbif,GBIF:2350462,Poeciliopsis monacha,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Poeciliopsis,NA,NA
Eurycea nana,gbif,GBIF:5218369,Eurycea nana,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,NA,NA
Pseudacris cadaverina,gbif,GBIF:2428130,Pseudacris cadaverina,Animalia,Chordata,Anura,Amphibia,Hylidae,Pseudacris,NA,NA
Pseudacris regilla,gbif,GBIF:2428132,Pseudacris regilla,Animalia,Chordata,Anura,Amphibia,Hylidae,Pseudacris,NA,NA
Rana cascadae,gbif,GBIF:2426771,Rana cascadae,Animalia,Chordata,Anura,Amphibia,Ranidae,Rana,NA,NA
Rana pretiosa,gbif,GBIF:2426776,Rana pretiosa,Animalia,Chordata,Anura,Amphibia,Ranidae,Rana,NA,NA
Spea hammondii,gbif,GBIF:2429783,Spea hammondii,Animalia,Chordata,Anura,Amphibia,Scaphiopodidae,Spea,NA,NA
Plethodon glutinosus,gbif,GBIF:2431539,Plethodon glutinosus,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Plethodon,NA,NA
Ambystoma jeffersonianum,gbif,GBIF:2431962,Ambystoma jeffersonianum,Animalia,Chordata,Caudata,Amphibia,Ambystomatidae,Ambystoma,NA,NA
Ambystoma macrodactylum,gbif,GBIF:2431965,Ambystoma macrodactylum,Animalia,Chordata,Caudata,Amphibia,Ambystomatidae,Ambystoma,NA,NA
Desmognathus fuscus,gbif,GBIF:2431224,Desmognathus fuscus,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Desmognathus,NA,NA
Eurycea bislineata,gbif,GBIF:5218376,Eurycea bislineata,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,NA,NA
Taricha torosa,gbif,GBIF:2431913,Taricha torosa,Animalia,Chordata,Caudata,Amphibia,Salamandridae,Taricha,NA,NA
Pseudacris triseriata,gbif,GBIF:2428141,Pseudacris triseriata,Animalia,Chordata,Anura,Amphibia,Hylidae,Pseudacris,NA,NA
Ambystoma maculatum,gbif,GBIF:2431951,Ambystoma maculatum,Animalia,Chordata,Caudata,Amphibia,Ambystomatidae,Ambystoma,NA,NA
Eurycea longicauda,gbif,GBIF:5218348,Eurycea longicauda,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,NA,NA
Eurycea lucifuga,gbif,GBIF:5218351,Eurycea lucifuga,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,NA,NA
Eurycea multiplicata,gbif,GBIF:5218382,Eurycea multiplicata,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Eurycea,NA,NA
Desmognathus ochrophaeus,gbif,GBIF:2431199,Desmognathus ochrophaeus,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Desmognathus,NA,NA
Desmognathus quadramaculatus,gbif,GBIF:2431213,Desmognathus quadramaculatus,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Desmognathus,NA,NA
Notophthalmus viridescens,gbif,GBIF:5218390,Notophthalmus viridescens,Animalia,Chordata,Caudata,Amphibia,Salamandridae,Notophthalmus,NA,NA
Pseudotriton ruber,gbif,GBIF:2431459,Pseudotriton ruber,Animalia,Chordata,Caudata,Amphibia,Plethodontidae,Pseudotriton,NA,NA
Acris crepitans,gbif,GBIF:2427616,Acris crepitans,Animalia,Chordata,Anura,Amphibia,Hylidae,Acris,NA,NA
Agroeca proxima,gbif,GBIF:2140934,Agroeca proxima,Animalia,Arthropoda,Araneae,Arachnida,Liocranidae,Agroeca,NA,NA
