abundance,year,genus,species,genus_species,fishbase_name,region,temp_min,temp_max,latitude,longitude,mean_summer_sst_degC
6,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2826,-64.688,28.5100015004476
4,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2827,-64.6968,27.95200157165523
5,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.283,-64.6871,28.371667226155633
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2836,-64.6866,28.5100015004476
3,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2838,-64.6869,28.371667226155633
2,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2844,-64.6861,28.2163340250651
4,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2845,-64.6849,27.95200157165523
12,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.285,-64.6816,28.984334309895832
1,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2852,-64.6769,28.5100015004476
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2852,-64.6775,27.95200157165523
4,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2853,-64.6793,28.5100015004476
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2856,-64.6761,28.2163340250651
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2859,-64.6805,28.5100015004476
2,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2867,-64.6734,28.2163340250651
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3018,-64.6992,28.5100015004476
6,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3026,-64.7459,28.984334309895832
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3039,-64.7058,28.722001393636067
1,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3075,-64.7068,28.010334014892567
2,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3075,-64.7148,28.010334014892567
2,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3078,-64.7142,28.010334014892567
7,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3086,-64.7002,28.5100015004476
7,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.309,-64.7165,27.95200157165523
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.31,-64.7189,28.984334309895832
1,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.3106,-64.7169,28.010334014892567
2,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.311,-64.7013,28.371667226155633
