tmax,tmin,n,lat,long,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species
45.6,NA,10,29.6,-82.3,Temperate,Anax junius,GBIF:5051741,Anax junius,Arthropoda,Odonata,Insecta,Aeshnidae,Anax,junius
37.2,NA,25,37.18,-118.28,Temperate,Chrysomela aeneicollis,GBIF:1048763,Chrysomela aeneicollis,Arthropoda,Coleoptera,Insecta,Chrysomelidae,Chrysomela,aeneicollis
45.2,5.2,8,35.65,-106.77,Temperate,Formica perpilosa,GBIF:1314949,Formica perpilosa,Arthropoda,Hymenoptera,Insecta,Formicidae,Formica,perpilosa
NA,-16,8,42.5,-78.7,Temperate,Parcoblatta pennsylvanica,GBIF:1997497,Parcoblatta pennsylvanica,Arthropoda,Blattodea,Insecta,Ectobiidae,Parcoblatta,pennsylvanica
NA,-3.8,2,60.6,7.5,Temperate,Calathus melanocephalus,GBIF:4988354,Calathus melanocephalus,Arthropoda,Coleoptera,Insecta,Carabidae,Calathus,melanocephalus
43.5,7,13,40.55,-3.78,Temperate,Psammodromus algirus,GBIF:2469763,Psammodromus algirus,Chordata,Squamata,Reptilia,Lacertidae,Psammodromus,algirus
43.6,NA,11,42.65,-5.72,Temperate,Lacerta monticola,GBIF:2468511,Lacerta monticola,Chordata,Squamata,Reptilia,Lacertidae,Iberolacerta,monticola
44.2,5.9,15,40.41,-5.06,Temperate,Podarcis muralis,GBIF:2469188,Podarcis muralis,Chordata,Squamata,Reptilia,Lacertidae,Podarcis,muralis
42,NA,NA,34.74,-115.66,Temperate,Crotalus scutulatus,GBIF:2444480,Crotalus scutulatus,Chordata,Squamata,Reptilia,Viperidae,Crotalus,scutulatus
42.5,NA,2,38.65,-122.67,Temperate,Lampropeltis zonata,GBIF:5224449,Lampropeltis zonata,Chordata,Squamata,Reptilia,Colubridae,Lampropeltis,zonata
41.3,NA,1,45.67,-118.79,Temperate,Plestiodon skiltonianus,GBIF:5960558,Plestiodon skiltonianus,Chordata,Squamata,Reptilia,Scincidae,Plestiodon,skiltonianus
44.2,NA,NA,28.08,-81.79,Temperate,Sceloporus woodi,GBIF:2451213,Sceloporus woodi,Chordata,Squamata,Reptilia,Phrynosomatidae,Sceloporus,woodi
46.5,NA,3,31.85,-106.48,Temperate,Crotaphytus collaris,GBIF:2470616,Crotaphytus collaris,Chordata,Squamata,Reptilia,Crotaphytidae,Crotaphytus,collaris
41.8,NA,6,35.7,-116.34,Temperate,Arizona elegans,GBIF:5223735,Arizona elegans,Chordata,Squamata,Reptilia,Colubridae,Arizona,elegans
46.7,NA,NA,35.7,-116.34,Temperate,Phrynosoma coronatum,GBIF:5222429,Phrynosoma coronatum,Chordata,Squamata,Reptilia,Phrynosomatidae,Phrynosoma,coronatum
43.5,NA,3,34.26,-118.78,Temperate,Coluber flagellum,GBIF:8433585,Coluber flagellum,Chordata,Squamata,Reptilia,Colubridae,Masticophis,flagellum
43.9,1.9,6,49.88,17.2,Temperate,Zootoca vivipara,GBIF:9702100,Zootoca vivipara,Chordata,Squamata,Reptilia,Lacertidae,Zootoca,vivipara
43.5,2.5,31,24.17,121.3,Temperate,Takydromus hsuehshanensis,GBIF:2468584,Takydromus hsuehshanensis,Chordata,Squamata,Reptilia,Lacertidae,Takydromus,hsuehshanensis
37.7,4.7,28,23.53,120.8,Temperate,Trimeresurus gracilis,GBIF:5960927,Trimeresurus gracilis,Chordata,Squamata,Reptilia,Viperidae,Trimeresurus,gracilis
41.1,10.5,9,29.18,-102.96,Temperate,Hemidactylus turcicus,GBIF:5221528,Hemidactylus turcicus,Chordata,Squamata,Reptilia,Gekkonidae,Hemidactylus,turcicus
41.1,9,NA,41.45,106.98,Temperate,Eremias multiocellata,GBIF:2468881,Eremias multiocellata,Chordata,Squamata,Reptilia,Lacertidae,Eremias,multiocellata
34.9,NA,NA,33.04,-116.87,Temperate,Xantusia henshawi,GBIF:2451721,Xantusia henshawi,Chordata,Squamata,Reptilia,Xantusiidae,Xantusia,henshawi
51,NA,10,33.96,-96.76,Temperate,Cnemidophorus sexlineatus,GBIF:2472425,Cnemidophorus sexlineatus,Chordata,Squamata,Reptilia,Teiidae,Aspidoscelis,sexlineatus
38.9,4.2,10,44.56,-123.26,Temperate,Thamnophis ordinoides,GBIF:2457636,Thamnophis ordinoides,Chordata,Squamata,Reptilia,Colubridae,Thamnophis,ordinoides
44.1,4.8,18,33.96,-116.24,Temperate,Sceloporus occidentalis,GBIF:2451234,Sceloporus occidentalis,Chordata,Squamata,Reptilia,Phrynosomatidae,Sceloporus,occidentalis
43.6,3.4,15,33.6,117.02,Temperate,Eremias brenchleyi,GBIF:2468876,Eremias brenchleyi,Chordata,Squamata,Reptilia,Lacertidae,Eremias,brenchleyi
NA,8.9,11,40.17,94.68,Temperate,Teratoscincus przewalskii,GBIF:2447102,Teratoscincus przewalskii,Chordata,Squamata,Reptilia,Sphaerodactylidae,Teratoscincus,przewalskii
39,0.5,NA,39.4,-84.6,Temperate,Orconectes rusticus,GBIF:8979506,Orconectes rusticus,Arthropoda,Decapoda,Malacostraca,Cambaridae,Faxonius,rusticus
35.7,NA,26,38,-9,Temperate,Pachygrapsus marmoratus,GBIF:2225815,Pachygrapsus marmoratus,Arthropoda,Decapoda,Malacostraca,Grapsidae,Pachygrapsus,marmoratus
33.6,3.5,30,48.8,-125.1,Temperate,Hemigrapsus nudus,GBIF:2225773,Hemigrapsus nudus,Arthropoda,Decapoda,Malacostraca,Varunidae,Hemigrapsus,nudus
34.8,NA,7,32.85,-117.25,Temperate,Petrolisthes cabrilloi,GBIF:2222719,Petrolisthes cabrilloi,Arthropoda,Decapoda,Malacostraca,Porcellanidae,Petrolisthes,cabrilloi
39.3,4.5,7,31,-114.34,Temperate,Petrolisthes hirtipes,GBIF:5862875,Petrolisthes hirtipes,Arthropoda,Decapoda,Malacostraca,Porcellanidae,Petrolisthes,hirtipes
30,25,11,46.73,-117.18,Temperate,Microtus longicaudus,GBIF:2438621,Microtus longicaudus,Chordata,Rodentia,Mammalia,Cricetidae,Microtus,longicaudus
36,33,NA,35.21,-113.76,Temperate,Chaetodipus intermedius,GBIF:2439589,Chaetodipus intermedius,Chordata,Rodentia,Mammalia,Heteromyidae,Chaetodipus,intermedius
32,24.9,6,49.3,-123.1,Temperate,Neurotrichus gibbsii,GBIF:2436208,Neurotrichus gibbsii,Chordata,Soricomorpha,Mammalia,Talpidae,Neurotrichus,gibbsii
35,25,5,32.15,-111.1,Temperate,Lepus alleni,GBIF:2436708,Lepus alleni,Chordata,Lagomorpha,Mammalia,Leporidae,Lepus,alleni
34.5,27.5,11,42.5,-76.5,Temperate,Peromyscus leucopus,GBIF:2438019,Peromyscus leucopus,Chordata,Rodentia,Mammalia,Cricetidae,Peromyscus,leucopus
33,19,5,33.4,-111.5,Temperate,Vulpes macrotis,GBIF:5219311,Vulpes macrotis,Chordata,Carnivora,Mammalia,Canidae,Vulpes,macrotis
40,25,8,32.14,-110.55,Temperate,Sylvilagus audubonii,GBIF:2436910,Sylvilagus audubonii,Chordata,Lagomorpha,Mammalia,Leporidae,Sylvilagus,audubonii
25.5,17.5,8,41.6,-106.35,Temperate,Brachylagus idahoensis,GBIF:2436688,Brachylagus idahoensis,Chordata,Lagomorpha,Mammalia,Leporidae,Brachylagus,idahoensis
35.3,29.7,NA,29.4,-82.19,Temperate,Peromyscus gossypinus,GBIF:2437988,Peromyscus gossypinus,Chordata,Rodentia,Mammalia,Cricetidae,Peromyscus,gossypinus
36.5,30,85,36.2,-115.2,Temperate,Peromyscus eremicus,GBIF:2437981,Peromyscus eremicus,Chordata,Rodentia,Mammalia,Cricetidae,Peromyscus,eremicus
35,28.5,3,35.46,-119.49,Temperate,Dipodomys deserti,GBIF:2439535,Dipodomys deserti,Chordata,Rodentia,Mammalia,Heteromyidae,Dipodomys,deserti
33,25,11,42.7,-118.7,Temperate,Lemmiscus curtatus,GBIF:2438225,Lemmiscus curtatus,Chordata,Rodentia,Mammalia,Cricetidae,Lemmiscus,curtatus
34,25,5,29.79,-82.49,Temperate,Neofiber alleni,GBIF:2438050,Neofiber alleni,Chordata,Rodentia,Mammalia,Cricetidae,Neofiber,alleni
32,23.4,5,33.8,8.4,Temperate,Vulpes zerda,GBIF:5219310,Vulpes zerda,Chordata,Carnivora,Mammalia,Canidae,Vulpes,zerda
35,30,12,46.9,-112.1,Temperate,Cynomys ludovicianus,GBIF:2437232,Cynomys ludovicianus,Chordata,Rodentia,Mammalia,Sciuridae,Cynomys,ludovicianus
35,27.5,4,46.22,8.74,Temperate,Crocidura suaveolens,GBIF:2435687,Crocidura suaveolens,Chordata,Soricomorpha,Mammalia,Soricidae,Crocidura,suaveolens
32,28.5,7,42.45,-76.5,Temperate,Tamias striatus,GBIF:2437438,Tamias striatus,Chordata,Rodentia,Mammalia,Sciuridae,Tamias,striatus
34,26,9,38.96,-106.99,Temperate,Tamias minimus,GBIF:2437432,Tamias minimus,Chordata,Rodentia,Mammalia,Sciuridae,Tamias,minimus
36,25,NA,40.6,-105.05,Temperate,Microtus ochrogaster,GBIF:2438671,Microtus ochrogaster,Chordata,Rodentia,Mammalia,Cricetidae,Microtus,ochrogaster
NA,30,6,31.9,34.8,Temperate,Microtus guentheri,GBIF:2438628,Microtus guentheri,Chordata,Rodentia,Mammalia,Cricetidae,Microtus,guentheri
NA,32,25,34.6,-117.85,Temperate,Dipodomys merriami,GBIF:2439521,Dipodomys merriami,Chordata,Rodentia,Mammalia,Heteromyidae,Dipodomys,merriami
NA,28,6,33,35,Temperate,Apodemus mystacinus,GBIF:2437773,Apodemus mystacinus,Chordata,Rodentia,Mammalia,Muridae,Apodemus,mystacinus
NA,-12,2,61.41,-147.54,Temperate,Erethizon dorsatum,GBIF:6066824,Erethizon dorsatum,Chordata,Rodentia,Mammalia,Erethizontidae,Erethizon,dorsatum
NA,22,12,53.28,6.15,Temperate,Sorex minutus,GBIF:7571319,Sorex minutus,Chordata,Soricomorpha,Mammalia,Soricidae,Sorex,minutus
NA,23,6,40.7,-123.8,Temperate,Arborimus longicaudus,GBIF:2437931,Arborimus longicaudus,Chordata,Rodentia,Mammalia,Cricetidae,Arborimus,longicaudus
NA,15,12,50.29,-98.31,Temperate,Tamiasciurus hudsonicus,GBIF:2437282,Tamiasciurus hudsonicus,Chordata,Rodentia,Mammalia,Sciuridae,Tamiasciurus,hudsonicus
NA,26,8,32,34.8,Temperate,Erinaceus europaeus,GBIF:5219616,Erinaceus europaeus,Chordata,Erinaceomorpha,Mammalia,Erinaceidae,Erinaceus,europaeus
34.9,-14.6,20,55.75,-4.9,Temperate,Semibalanus balanoides,GBIF:2115784,Semibalanus balanoides,Arthropoda,Sessilia,Maxillopoda,Archaeobalanidae,Semibalanus,balanoides
21.1,NA,20,45.09,-66.96,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus
42,6,NA,40.88,17.15,Temperate,Testudo hermanni,GBIF:2441454,Testudo hermanni,Chordata,Testudines,Reptilia,Testudinidae,Testudo,hermanni
39.3,NA,NA,33,-120,Temperate,Gillichthys mirabilis,GBIF:2378639,Gillichthys mirabilis,Chordata,Perciformes,Actinopterygii,Gobiidae,Gillichthys,mirabilis
31.2,NA,NA,45,13,Temperate,Scorpaena porcus,GBIF:2334600,Scorpaena porcus,Chordata,Scorpaeniformes,Actinopterygii,Scorpaenidae,Scorpaena,porcus
